id,name
1123,Bingo potato chips
525,Britannia
80,BSC
459,Eduway
429,freed
641,G0VO
475,Gildan
1068,Hansaplast
115,Honest Home
618,INNER GLOW
236,kama ayurveda
456,KC KITCHENWARE
454,Retailonline.in
337,"LABORATORIOS ORDESA, S.L. - ES Grocery - Pantry"
443,Lotus Botanicals
62,Lotus Herbals
64,Lotus Organics
91,Love From Yours - US
524,MTJ Grooming and Wellness PVT LTD
505,MyGlamm RO Based
107,Naturali
1086,Nature Fresh
1083,Pidilite Fevicreate
1082,Pidilite Fevicryl
1169,Gemini_zepto
1084,Pidilite Motomax
1081,pidilite_blinkit
604,Portronics Audio-Ads
516,Portronics IT Accessories
603,Portronics Laptop Table
515,Portronics Mobile Accessories
602,Portronics_Car-Accessories
308,Preethi
455,RockStuff India Pvt Ltd
409,Rynoxgears
489,SkinInspired
587,Soultree
453,streax_PO
598,TEGO
512,The intellect Bazaar
907,VERSUNI INDIA HOME SOLUTIONS LIMITED
617,Secrets of Veda
78,Neemans
1077,Cargill_blinkit
1080,Cargill_Fk
1089,Cargill_swiggy
635,castrol
1029,Chemist at play
491,Chocolate Mondelez
549,Closeup Grocery
568,Closeup Search
821,Beiersdorf BR - NIVEA
1134,Bingo_zepto
653,Colgate
1135,Aashirvaad_zepto
461,【hp japan】hp運用_peripheral
470,【HP Japan】HP運用_Printer
593,3 Roses Search
725,Acne Squad_self-serve
546,Acne_Squad_PO
118,And Me
247,Asli Fine Foods
659,assembly travel
542,Axe Search
538,Baby Dove Search
632,Bajaj_MP_CORE
628,BAJAJ_MP_SEASONAL
393,bajaj electricals
630,Bajaj_Core_PO
631,BAJAJ_LIGHTS
1069,Bajaj Electricals Limited-Bajaj_Lights
427,Basamh Trading company
627,Bajaj_MW_PO
626,Bajaj_NPG_PO
1024,Bare Anatomy
673,BDF Mexico SA de CV
210,Bio Oil
691,Bio Oil RO Based
543,Boost Search
639,Bournville
490,Bournvita Mondelez
914,Britannia - Biscuits
560,Bru Grocery
584,BRU Search
662,Colgate-Palmolive
572,Comfort Grocery
526,Comfort Search
1126,Consumer Beauty
1113,CORE - USHA - PO LIMIT
1054,Cuticolor
1055,Cuticolor_fk
502,Dabur Apple Cider Vinegar
501,Dabur Baby
500,Dabur Culinary & ACV
499,Dabur Hair Care
918,Dabur Hair Care_zepto
919,Dabur Health Care_zepto
498,Dabur Health Supplements and OTC
920,Dabur Home Care_zepto
921,Dabur Hommade_zepto
496,Dabur Honey
925,Dabur Honey_zepto
361,Dabur IN
495,Dabur Oral Care
922,Dabur Oral Care_zepto
926,Dabur OTC_zepto
923,Dabur Real_zepto
494,Dabur Skin Care
599,Dabur Tea
595,Dabur Vedic Zepto
597,Dabur Zepto
519,dabur_bpc_new a/c
518,dabur_fk grocery
517,dabur_health supplements_new a/c
640,Dairy Milk
493,DCP and  Ayurvedic Products
623,Dettol_MP
583,Domex Grocery
671,Domex Search
562,Dove Deo Search
575,Dove Shampoo Search
555,Dove Skin Search
579,Dove Soap Search
726,Dove_self-serve
237,Dr Foot
731,ELLE 18_self-serve
656,elle18
1092,Fiama
738,FIND YOUR HAPPY PLACE_self-serve
317,Fitness
1033,Fixderma
1063,Fixderma CA
1044,Fixderma UK
1043,Fixderma US
909,FLO
1088,Gemini_swiggy
68,Glanbia
1047,Glanbia KSA
74,Glanbia UAE
553,Hair Care Display
530,Hair Grocery
688,Hair&Care
383,Head
1127,Health
160,HEALTHVIT
566,Hellmann's Grocery
711,Hiveminds_PO_Stationery
564,Horlicks Grocery
481,Horlicks Search
1,HP
514,HP - COE - DE - PS
819,HP - MDF - UK - PS
373,HP Australia Peripherals
371,HP Australia Print
370,HP Australia PS
155,HP Core Laptops_New
110,HP Japan
154,HP Laptops
242,HP Monitors
243,HP Neverstop
244,HP Printer
246,HP Supplies
364,HP_Accessories_RPTech
404,HP-COE-UK-Ps
539,Indulekha Grocery
585,Indulekha Search
736,indulekha_self-serve
815,Innovist
108,Intellilens
1099,ITC Blinkit
551,Kissan Grocery
576,Kissan Search
557,Knorr Grocery
529,Knorr Search
151,Kohler
344,Kozicare
772,Kwality Wall's
536,Lakme Search
482,Lakme Skin Search
730,Lakme_self-serve
535,LBP Search
545,Lipton Grocery
563,Lipton Search
541,Liril Search
681,Livon
208,Livon Serum
739,Love Beauty & Planet_self-serve
657,Love Beauty Planet
569,Lux Search
724,Lux_self-serve
1128,Luxe Beauty
381,man-up
109,Marico
786,Marico - PABL_DV360
294,marico uae
418,Marico-EU
420,Marico-EU-DE
1032,Mars Cosmetics
589,Mondelez (Cadbury)
523,Mondelez_Biscuits_Grocery
521,Mondelez_Bournvita_Grocery
522,Mondelez_Chocolate_Grocery
633,Morphy Richards
1074,Mother Sparsh
1075,Mother Sparsh_blinkit
637,MR_PCA
695,Nihar
369,Nivea
714,Nivea AE
1051,NIVEA BODY WASH
1052,Nivea Deodorant
642,NIVEA MOISTURIZER
634,nnex
737,Novology_Self-serve
1079,NutriGlow GBL Lifesciences Private Limited
816,Nuuk
1111,Onesto Labs Pvt. Ltd.
338,oralvit
588,oreo
686,PA Baby
687,PA Innovation
679,PA Onion Oil (Postpaid)
693,PA Shower Gel
680,PABL
654,Palmolive
204,Parachute
716,Parachute Advansed Baby
207,Parachute Advansed Body Lotion
690,Parachute Advansed Hair Oil
205,Parachute Advansed Men Hair Cream
206,Parachute Advansed Onion Hair Oil
556,Pears Search
727,Pears_self-serve
554,Pepsodent Grocery
533,Pepsodent Search
561,Personal Wash Display
479,Personal wash grocery
238,Petvit
3,Philips
712,Pidilite Industries Limited
552,Ponds Grocery
540,Ponds Search
729,Ponds_selfserve
1116,PREMIUM - USHA - PO LIMIT
181,Reach
492,Real
594,Real Activ Zepto
596,Real Zepto
357,Reckitt India
534,Red label Grocery
578,Red label Search
1019,RELY +
911,Renee
574,REXONA Search
112,Rey Naturals
670,Rin Search
199,Saffola
198,Saffola Arogyam
200,Saffola Aura
150,Saffola Honey
202,Saffola Mayonnaise
197,Saffola Mealmaker
1067,Saffola Muesli
692,Saffola Oats
685,Saffola Oils
196,Saffola Oodles
201,Saffola Peanut Butter
1095,Savlon
1115,SEASONAL - USHA - PO LIMIT
162,Sennheiser
156,Set Wet
581,Simple Search
723,Simple_selfserve
559,St Ives Searchh
728,St Ives_Self-serve
1028,Sunscoop
544,Sunsilk Search
733,Sunsilk_self-serve
573,Surf Excel Search
537,Surf Grocery
1065,Swiss Image
528,Taj Mahal Grocery
582,Taj Mahal Search
590,tang
239,The Bath Store
117,The Better Home
1061,THE WHOLE TRUTH
1062,The whole truth foods
580,Tresemme Search
732,TRESemme_selfserve
469,true elements
713,truebell Marketing & Trading (Swiss Image)
927,TSC - PO (sleep co)
1023,Two brothers
1114,UIL Marketplace
473,Unilever
1110,USHA INTERNATIONAL LTD.
567,V Wash Search
586,Vaseline Grocery
558,Vaseline Search
735,Vaseline_selfserve
591,Veeba
548,Vim Grocery
531,Vim Search
769,Vwash
823,Wobble
65,Zingavita
1140,Britannia Zepto
92,KAYA SKIN CLINIC
1141,Britannia Dairy Zepto
1136,Livon zepto
1137,Parachute zepto
1138,Saffola zepto
1139,Saffola Foods zepto
1149,Publicis Media
1151,Slurrp Farm
1154,Nivea_Noon
1162,NIVEA BODY LOTION
1163,Parachute Advansed Hair Mask
1164,Sunlight grocery
1165,Glutalight
1150,Two Brothers Organic Farms
1129,Eucerin BR
1122,Aashirvaad atta
1124,Aashirvaad Atta FK
606,Acer
463,Atom UK Limited
152,Beardo
405,Beardo_PO
1130,Beiersdorf - UAE - tmart
622,Beiersdorf Australia ltd
1125,Bingo FK
497,Dabur Home Care
441,HP-COE-DE-Print
547,Tresemme Grocery
1072,Wow Skin Science_blinkit
1071,Wow Skin Science_zepto
